id,start_date,lat,lon,l3,surface_total,surface_covered,price,title,property_type,operation_type
oGlU3IF5Vwsa9raz/fYcOA==,2019-03-14,-34.577953,-58.491825,Villa Urquiza,32.0,32.0,11800.0,Alquiler Departamento en Villa Urquiza Capital Federal Burela 2378,Departamento,Alquiler
8zB7A8dJFTG2q2Yq1OrJJA==,2019-02-05,-34.5872958,-58.4033104,Recoleta,34.0,30.0,11000.0,Departamento En Austria y Aguero- Recoleta,Departamento,Alquiler
baZBBExO/7MVt3mwZgeTDQ==,2018-12-29,-34.6226051,-58.4437882,Caballito,30.0,30.0,22000.0,LOCAL EN ALQUILER EMILIO MITRE Y RIVADAVIA,Local comercial,Alquiler
bygxsKjEq1DQvqGRikwtjA==,2019-01-05,-34.566901,-58.43773,Palermo,43.0,40.0,17000.0,Alquiler 2 Ambientes con cochera en Cañitas,Departamento,Alquiler
RPGdR/LsNIvB0LXsj98DTA==,2019-04-05,-34.575215126,-58.4231798602,Palermo,36.0,36.0,16500.0,2 AMBIENTES EN PALERMO - CERVIÑO Y SINCLAIR,Departamento,Alquiler
TN1fPS5Ms2oU8o2ZgbpMJA==,2019-04-24,-34.613794,-58.425989,Caballito,60.0,60.0,20000.0,ALQUILER 3 amb amplios sobre Rivadavia en Caballito $20.000 mas gastos sin muebles,Departamento,Alquiler
FuN7zG2vHevfUyyoqnHYmg==,2019-05-13,-34.5950932,-58.4371128,Palermo,105.0,105.0,55000.0,Local de 1 ambiente en Alquiler en Palermo,Local comercial,Alquiler
Gewl0QmM+nnGRIPJdl7aXg==,2019-02-26,-34.5535372,-58.4612566,Belgrano,64.0,55.0,22000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
vSBrhHtjVbaR9cmIOlW9rg==,2019-03-14,-34.5944348,-58.3835014,Recoleta,72.0,72.0,24000.0,Excelente depto. Apto profesional en Arenales y Libertad,Oficina,Alquiler
wL6LMR+nHz64ytKWQGEZZA==,2019-05-15,-34.6207193,-58.4355264,Caballito,42.0,42.0,12000.0,2AMB | Avenida José María Moreno 200 - CABA,Departamento,Alquiler
FgwvjhdpK+DDIqAaphhpMg==,2019-01-15,-34.5427503,-58.4601452,Nuñez,53.0,50.0,13000.0,PH - Nuñez  de 2 ambientes muy grande luz ysol,PH,Alquiler
id3hNzpQaKEuz6tXADXxTQ==,2019-04-30,-34.596832,-58.398003,Recoleta,43.0,43.0,12500.0,Departamento en alquiler Recoleta,Departamento,Alquiler
iizXfycdY2eAMQK9LZNJSw==,2019-02-24,-34.597677,-58.402784,Barrio Norte,91.0,91.0,20000.0,Local + oficinas / deposito,Oficina,Alquiler
5Zb4OBYvKiHpc9Pa9GMbTA==,2019-02-05,-34.5964905,-58.3858368,Recoleta,60.0,60.0,13500.0,Talcahuano y Santa Fe inmejorable ubicación,Departamento,Alquiler
K5q2fIVq0zT5nA5cDfG1ag==,2019-04-18,-34.567712,-58.4350576,Belgrano,79.0,69.0,25000.0,Excelente depto de 2 dormitorios con cochera,Departamento,Alquiler
uftPDKeosNfDWWD7Tybxqw==,2019-04-13,-34.6284346,-58.4371796,Caballito,49.0,45.0,14500.0,"2 ambientes amplios al frente con balcón,",Departamento,Alquiler
aqWVnuaFU5bXFgZOabhQ4Q==,2019-05-06,-34.5825398436,-58.4324823302,Palermo,51.0,41.0,22000.0,Venta - Alquiler - 2 amb - Nicaragua 5400 - Torre - Duplex - P. Hollywood,Departamento,Alquiler
Mxq17y4rEFhojSZm1T/sGA==,2019-01-08,-34.5658295,-58.4971034,Villa Urquiza,40.0,40.0,15000.0,LOCAL EN ALQUILER,Local comercial,Alquiler
L06ZNZWvGzx4hZshnU8mVw==,2019-05-31,-34.5941863,-58.4095425,Barrio Norte,53.0,50.0,19000.0,MANSILLA 3043 ALQUILER 2 AMB C/FTE BALCÓN AMENITIES,Departamento,Alquiler
A2R6lBJrjej3JqWq+SHxyA==,2019-01-10,-34.5875461589,-58.4088162184,Palermo,130.0,111.0,45000.0,"Departamento 4 ambientes en alquiler, vigilancia 24hs, balcón terraza, cochera.",Departamento,Alquiler
bDOVehyAH6SdjVOSsewV7g==,2019-03-30,-34.612415,-58.440353,Caballito,65.0,65.0,23000.0,DEPARTAMENTO 3 AMB. c BALCÓN y COCHERA. CABALLITO,Departamento,Alquiler
cMbtUQsljrWIA7QZAGzxKA==,2019-06-06,-34.573129,-58.480031,Villa Urquiza,77.0,74.0,35000.0,ALQUILER - 3 AMB C/GARAGE - PILETA/PARRILLA/SUM,Departamento,Alquiler
/X5JvIdJCkKBwyNBVKMCpw==,2018-12-29,-34.6226051,-58.4437882,Caballito,30.0,30.0,22000.0,LOCAL EN ALQUILER EMILIO MITRE Y RIVADAVIA,Local comercial,Alquiler
C/nerGPZbjFt3t3u3wKSlg==,2019-04-29,-34.5540031,-58.4600641,Belgrano,55.0,50.0,19000.0,AV. CONGRESO 2100 - Belgrano,Oficina,Alquiler
eY/tusZOpssC8TpYPGw1UA==,2019-02-15,-34.623380659,-58.4306814847,Caballito,34.0,31.0,10000.0,Alquiler monoambiente en Caballito,Departamento,Alquiler
uyYdehSW21VdaHq2b703sw==,2019-04-04,-34.5583057,-58.463703,Belgrano,71.0,65.0,21800.0,Rivera y Moldes - Semipiso 3 ambientes - Muy bueno - cerca Av. Cabildo y subte linea D,Departamento,Alquiler
AqjlpEbtTz+peV2XT7renw==,2019-04-10,-34.60526,-58.42441,Almagro,184.0,184.0,60000.0,Local de 1 ambiente en Alquiler en Almagro,Local comercial,Alquiler
mc6NdiK04VoC5zJKV0kVGA==,2019-02-01,-34.5957447,-58.4097622,Barrio Norte,53.0,51.0,21000.0,En Alquiler Hermoso departamento 3 ambientes con cochera Fija y baulera,Departamento,Alquiler
Qg9MrqQOFM7m1wpiJoLHbA==,2019-04-15,-34.5876054,-58.4157297,Palermo,34.0,28.0,14000.0,Departamento en Palermo 1 ambiente a estrenar,Departamento,Alquiler
RmItUoLFr/6yZimAFf0xkg==,2019-01-23,-34.6063554,-58.4444953,Villa Crespo,170.0,170.0,23000.0,Alquiler LOCAL - DEPOSITO 170m2 Villa Crespo,Local comercial,Alquiler
v54YwO2b0He8PBGp2kqTRQ==,2019-05-31,-34.5955379,-58.4436587,Villa Crespo,47.0,47.0,18000.0,2 Amb. con Amenities - Thames 500 - Villa Crespo,Departamento,Alquiler
WgN/wZmnc0llkl46c4i6dg==,2019-01-19,-34.5895488519,-58.4106310815,Barrio Norte,89.0,80.0,26000.0,"Hermoso 3 ambientes a  contrafrente abierto, silencioso y luminoso, balcon con vista verde",Departamento,Alquiler
cvhn8ItI4+RNk8XlHLEk6Q==,2019-05-17,-34.591807183,-58.4221684259,Palermo,39.0,39.0,13000.0,Departamento de 2 ambientes en Alquiler en Palermo soho,Departamento,Alquiler
i2jmDSAAYvvXTppiRB7Ijg==,2019-06-07,-34.583717,-58.411696,Palermo,42.0,48.0,14000.0,Luminoso departamento en Palermo. Excelente ubic.,Departamento,Alquiler
qulTRXHZ5jz3mtDB4TXsfQ==,2019-01-10,-34.612113,-58.435233,Caballito,83.0,42.0,20000.0,"Depto 2 amb. Balcón, Terraza y Cochera Caballito",PH,Alquiler
O5ZLoBUuBVX5RT2qg82HFQ==,2019-05-31,-34.573864,-58.440661,Belgrano,98.0,74.0,30000.0,Zapata al 300 c/terraza ppia y cochera!,Departamento,Alquiler
ug7i9O/oh7PDg98T7e+pUA==,2019-04-25,-34.5518037015,-58.4685780651,Nuñez,48.0,44.0,19500.0,IMPECABLE DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
Q7IhI/NtRVsIAuqLZLX2Ew==,2019-03-27,-34.6010638,-58.4372446,Villa Crespo,155.0,155.0,30000.0,Local de 1 ambiente en Alquiler en Villa crespo,Local comercial,Alquiler
JXmCKgWfR1GAsH2d99XWNw==,2019-01-18,-34.6270168,-58.4496457,Caballito,66.0,58.0,17000.0,"Departamento 66m² 3 ambientes en Achával al 200, Caballito, Capital Federal, Caballito, por $ 17.000",Departamento,Alquiler
6qXqPtWKVY3m854KDfRGBA==,2019-03-08,-34.549145,-58.45996,Nuñez,76.0,66.0,24000.0,Departamento  3 ambientes Alquiler Nuñez,Departamento,Alquiler
irjhYewtnYPFS6hF3Atgpw==,2019-03-25,-34.5946029,-58.4040515,Recoleta,33.0,30.0,11000.0,ALQUILER MONOAMBIENTE C/BALCÓN - INMEJORABLE UBICACIÓN,Departamento,Alquiler
KU0wxN+McctyE6txXZa+RA==,2019-06-10,-34.6309321174,-58.4655938164,Flores,50.0,46.0,13800.0,Excelente S/Piso frente c/balcón aterrazado de 16 años c/bajas expensas Impecable!,Departamento,Alquiler
rpZlGR0j+2xIEpltMZVcdw==,2019-03-30,-34.585317,-58.425545,Palermo,50.0,47.0,18000.0,DIVINO MONOAMBIENTE EN ALQUILER EN PALERMO SOHO,Oficina,Alquiler
E7rEfVzjOKmHe0xvl6SY3g==,2019-03-13,-34.6178923,-58.4360343,Caballito,116.0,110.0,20000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
j/QgXiOFu8RU/6Z/iMfiXQ==,2019-02-08,-34.5885527,-58.4106034,Palermo,85.0,80.0,22000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
tWCULwq+8Immy98dtshHhw==,2019-03-15,-34.57304,-58.479785,Villa Urquiza,52.0,50.0,17000.0,Departamento en Av. Olazabal y Miller - Villa Urquiza,Departamento,Alquiler
BHn67e99+T0yGX2nwQUsfg==,2019-04-12,-34.591154,-58.3782268,Recoleta,116.0,110.0,35000.0,3 AMBIENTES EN RECOLETA CON 3 BALCONES.EDIFICIO ANTIGUO CLASICO DE ESTILO,Departamento,Alquiler
Z2AhtqB9XyJ4jcmo9WpD3w==,2019-02-27,-34.5965465,-58.3806343,Barrio Norte,56.0,27.0,10500.0,Departamento - Plaza S.Martin,Departamento,Alquiler
+FcZBvBVpV+STQ9LKg2Z3A==,2019-03-21,-34.62066269,-58.42707443,Almagro,75.0,40.0,18000.0,México  4300 1°  - $ 18.000 - Departamento Alquiler,Departamento,Alquiler
Gm8iIYjhu3QNfMw6zBiAlQ==,2019-03-27,-34.5855865,-58.4797973,Villa Urquiza,30.0,30.0,10500.0,AV.DE LOS INCAS 5000/VILLA URQUIZA.ALQUILER-1 AMBIENTE,Departamento,Alquiler
3LccRxnoRQYMbotCUlL5OA==,2019-03-18,-34.5877672341,-58.4336004074,Palermo,48.0,48.0,26000.0,Alquiler. Local comercial 48m². Sin expensas. Apto Oficina. Excelente ubicación. Gorriti 5200 y Godoy Cruz. Palermo.,Local comercial,Alquiler
7kuJlaXGcijmTfFp0Ta9tA==,2019-03-19,-34.6201534,-58.4342895,Caballito,82.0,77.0,25000.0,Departamento 4 Amb c/Esp Guardacoche Guayaquil 400 Alquiler,Departamento,Alquiler
4vUZTLZT/VM801+SbBvW/w==,2019-03-01,-34.5887109,-58.404672,Recoleta,35.0,35.0,14000.0,Departamento en Austria al 2000 de 1 ambiente y medio - Recoleta,Departamento,Alquiler
WrAcQ7viYA7SaHgwh443Jw==,2019-05-10,-34.5725379,-58.4796957,Villa Urquiza,45.0,45.0,15500.0,Hermoso depto de 2 ambientes c/ toilette y baulera,Departamento,Alquiler
d0RcrdKVM4mgCoFr4PYHcg==,2019-02-22,-34.5887104561,-58.4238115841,Palermo,43.0,34.0,15500.0,ALQUILADO - HERMOSO MONOAMBIENTE - MALABIA 1900 - PALERMO,Departamento,Alquiler
yOqvdrNPh193Mhjn8BOyKg==,2019-03-21,-34.5927663,-58.4148821,Barrio Norte,84.0,70.0,28000.0,Alquiler: 3 ambientes con cochera · Baño y toilette · Excelente zona!,Departamento,Alquiler
7fCXElJBcG41+G0ue2i5/w==,2019-01-19,-34.583695,-58.424612,Palermo,42.0,42.0,14000.0,ALQUILER MONOAMBIENTE A ESTRENAR!,Casa,Alquiler
fui0vUhshVmBVu9XXJ3nEw==,2019-03-08,-34.5542687,-58.4629244,Belgrano,57.0,41.0,18000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
188edFZBH5vE85a3O8oZIA==,2019-02-13,-34.5950932,-58.4371128,Palermo,105.0,105.0,55000.0,Local de 1 ambiente en Alquiler en Palermo,Local comercial,Alquiler
BgMazOsuc838dD8ZpnNtcg==,2019-03-07,-34.5974956,-58.439777,Almagro,45.0,40.0,16000.0,Alquiler: Hermoso 2 ambientes. Piscina • Solarium • SUM • Parrilla.,Departamento,Alquiler
QnQ4595BkokxuRtuPNxrww==,2019-05-10,-34.5857355,-58.418948,Palermo,55.0,55.0,22000.0,Departamento - Palermo,Departamento,Alquiler
zVGZ384ViqISYYJRLj44YQ==,2019-02-22,-34.6250644313,-58.4714895185,Flores,131.0,122.0,25000.0,5 ambientes con cochera 128 mts tiene un anexo de 38 mts 2 bauleras  en exelente estado,Departamento,Alquiler
gISkJvTJGfMHowKxg2Fflg==,2019-03-11,-34.5965884,-58.4431011,Villa Crespo,38.0,28.0,10000.0,Departamento de 1 ambiente en Alquiler en Villa crespo,Departamento,Alquiler
5cLhA2reOnP0j3z56oehpQ==,2019-03-20,-34.6013232,-58.4328358,Villa Crespo,62.0,55.0,18000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
jgT8g0OMQ8lptMc++fsZVQ==,2019-02-12,-34.5891729,-58.39518,Recoleta,35.0,35.0,18000.0,Local - Recoleta,Local comercial,Alquiler
4WuvQVXkfWwT8Fu0KEKkfQ==,2019-03-18,-34.5976047,-58.4213309,Palermo,71.0,55.0,17000.0,RESERVADO !!! 3 AMB PH Amoblado y equipado con patio / Muy Luminoso / Alquiler,PH,Alquiler
VQ/VPMRxmZlG7/qhgg3tBQ==,2019-05-23,-34.5728372,-58.4857904,Villa Urquiza,35.0,30.0,12000.0,Lindo Monoambiente en excelente ubicación,Departamento,Alquiler
xbEptFyElKlLEkksM5Rqbg==,2019-05-18,-34.5893395,-58.3967954,Recoleta,80.0,80.0,32000.0,"3 dormitorios amoblado, 2 baños DISPONIBLE Apto Empresas!",Departamento,Alquiler
wey3GoBW/4Lt7FBCN0IBjA==,2019-05-22,-34.5707147216,-58.4350795968,Belgrano,110.0,93.0,29000.0,SEMIPISO CALLE - BALCON - VISTA ABIERTA,Departamento,Alquiler
Phf2NNsBq7fI+j06+8s2Vw==,2019-01-18,-34.6030332,-58.3953523,Barrio Norte,30.0,30.0,13500.0,Departamento - Barrio Norte,Departamento,Alquiler
UVJKQPfcvU53xn/GoDsn3Q==,2019-05-29,-34.6078766,-58.4304134,Almagro,35.0,35.0,13500.0,Rio de Janeiro 600 - 1 Ambiente - Almagro,Departamento,Alquiler
12o6e9b8shZ1B9b5oaNegg==,2019-03-15,-34.587773,-58.420369,Palermo,39.0,39.0,12000.0,Monoambiente en Alquiler - Palermo.,Departamento,Alquiler
wGtlznve4vOYN3BtVfZ+zQ==,2019-03-23,-34.595123058,-58.3994590644,Recoleta,83.0,75.0,21000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
DxU7Z8E88zcvM2mcQGXG1g==,2019-04-16,-34.6006475806,-58.4439177248,Villa Crespo,70.0,60.0,25000.0,PH EN ALQUILER,PH,Alquiler
uE9pqj3728Vioqhq5Guceg==,2019-04-12,-34.595317,-58.398232,Barrio Norte,130.0,124.0,27500.0,Departamento en alquiler sobre Av. Santa Fe,Departamento,Alquiler
S7ZKhYWDf3OP9VxnLzkwIw==,2019-02-02,-34.5898724656,-58.4477352804,Villa Crespo,45.0,40.0,13500.0,"EXCELENTE 2 AMBIENTES A METROS DE AV.DORREGO IMPECABLE TODO EXTERNO CERCANIAS SUBTE LINEA B BALCON ATERRAZADO CONTRAFRENTE, NUEVO  RECIEN PINTADO, PARRILLA.  A METROS PARQUE LOS ANDES",Departamento,Alquiler
BRLiL5hlUyKn7jUtVKq1KQ==,2019-03-01,,,Caballito,65.0,62.0,20000.0,Departamento - Caballito,Departamento,Alquiler
NxREKjKEwV8DaCokho3F+w==,2019-06-10,-34.5965884,-58.4431011,Villa Crespo,38.0,28.0,9000.0,Departamento de 1 ambiente en Alquiler en Villa crespo,Departamento,Alquiler
g+ZVjReiaZYsv6oIhhmqxw==,2019-01-30,,,Palermo,76.0,71.0,45000.0,alquiler departamento en Las Cañitas 3 ambientes en Quartier Polo,Departamento,Alquiler
Pd0Mwb4Rp6WUETF/gEBxzg==,2019-04-23,-34.5702226,-58.4511137,Belgrano,35.0,31.0,12000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
iYiD92XoNCaN5fq3ZQwmYA==,2019-05-15,-34.6272316,-58.45124435,Caballito,85.0,85.0,25000.0,Alberdi   1600 5°  - $ 25.000 - Departamento Alquiler,Departamento,Alquiler
BR1aEjBEzG1WtCbpswVgcQ==,2019-04-23,-34.5726575,-58.4440099,Belgrano,50.0,50.0,17000.0,Departamento con cochera y pileta,Departamento,Alquiler
Sj+X6RjyeBbOWF3lbtfGgQ==,2019-02-09,-34.597999,-58.425692,Villa Crespo,36.0,33.0,11800.0,Exc Alquiler 1 amb divisible Balcon Pileta Parilla,Departamento,Alquiler
QC+nMQkx25r01e60UVfPEA==,2019-05-08,-34.6148284,-58.4251246,Almagro,47.0,42.0,16000.0,D'Odorico Propiedades -,Departamento,Alquiler
rXOuzX2uzDN6uiTzPxk3Dg==,2019-05-08,-34.6028127421,-58.4223683322,Almagro,62.0,59.0,20000.0,Departamento de 3 ambientes en Alquiler en Almagro,Departamento,Alquiler
9XDmj+gvPiveQI4wdlUHwQ==,2019-04-24,-34.5696082,-58.4322171,Palermo,80.0,75.0,32000.0,alquileres tres ambientes cochera Las Cañitas,Departamento,Alquiler
EID5r+LJG08dw2IukD88Lg==,2019-06-15,-34.5965884,-58.4431011,Villa Crespo,38.0,28.0,9000.0,Departamento de 1 ambiente en Alquiler en Villa crespo,Departamento,Alquiler
AVzxKtq1Q+9aoMECH6gaRw==,2019-01-03,-34.5947609,-58.4077298,Barrio Norte,40.0,40.0,11000.0,"Laprida y Charcas- 2 amb, 40 m2 - Alquiler departamento - Barrio Norte",Departamento,Alquiler
SlVNeAI0TgBiBaf5sBh64A==,2019-05-04,-34.60105896,-58.43265152,Villa Crespo,36.0,36.0,10500.0,Frias  500 5°  - $ 10.500 - Departamento Alquiler,Departamento,Alquiler
X7l1/aPmb6Ek0QYC5cYGgQ==,2019-05-02,-34.567242,-58.460659,Belgrano,96.0,90.0,28000.0,Alquiler Departamento en Belgrano Capital Federal SUCRE 3000,Departamento,Alquiler
SsCvdeOCh3kl9E/xvUOgew==,2019-04-02,-34.545588,-58.465563,Nuñez,106.0,91.0,29000.0,OFICINA EN ALQUILER NUÑEZ,Oficina,Alquiler
/xoKr1dBR5U9AV4CEviMyA==,2019-01-30,-34.5771039,-58.4341335,Palermo,50.0,36.0,10500.0,MONOAMBIENTE EN PISO ALTO MUY LUMINOSO,Departamento,Alquiler
2gMRxBD1zR+Qi9md4Xo+SQ==,2019-02-21,-34.5967954411,-58.4278703835,Villa Crespo,145.0,145.0,39000.0,PH ideal oficina en alquiler en el barrio de Villa Crespo (sin expensas),PH,Alquiler
zKBIbZC59K9cmVObTUvvSA==,2019-06-10,-34.5648051,-58.4399881,Belgrano,48.0,42.0,17000.0,Depto 2amb en Las Cañitas!!,Departamento,Alquiler
wWf67FbFJpSFrjW06cFx3A==,2019-05-30,-34.6029947,-58.3913785,Barrio Norte,31.0,31.0,12500.0,ALQUILER MONOAMBIENTE. APTO ROFESIONAL. BARRIO NORTE,Departamento,Alquiler
lgiIgOS36puYuwijyzrEmQ==,2019-01-24,-34.589723,-58.4325664,Palermo,122.0,108.0,25000.0,Departamento tipo Loft - Palermo Soho,Departamento,Alquiler
u+VWvYPoKrZtPx7V1gCLsQ==,2019-03-14,-34.6106441,-58.449169,Caballito,127.0,117.0,27000.0,Departamento - Villa Crespo,Departamento,Alquiler
EHOyD0swFLX3tP3itZaMTA==,2019-02-08,-34.5427503,-58.4601452,Nuñez,46.0,44.0,13000.0,Muy buen dos ambientes  en el barrio de Nuñez,Departamento,Alquiler
S0ufy3pa22G1Fk+GvsBv/A==,2019-04-18,-34.5762877,-58.4969531,Villa Urquiza,53.0,49.0,23000.0,"Aizpurúa y Rivera Espectacular 2 ambientes con cochera en alquiler, edificio con amenities",Departamento,Alquiler
trIK2L+rATgrjGV3HgBa6w==,2019-02-08,-34.5906679,-58.4196587,Palermo,200.0,120.0,50000.0,"Soler y Medrano- PH 4 amb, terraza, patio, reciclado a nuevo-Alquiler PH Palermo",Oficina,Alquiler
QsRs4R12xbMWOAg0CDKNWw==,2019-01-29,-34.5913553,-58.4305254,Palermo,64.0,60.0,35000.0,ALQUILER DEPARTAMENTO 3 AMBIENTES EQUIPADO 35000 PAQUETE,Departamento,Alquiler
3VHd30PTx93+hww/Jed6Pg==,2019-01-16,-34.5927614,-58.4161349,Palermo,36.0,34.0,14000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
/1eFFIpd9AMNFqdhzCTq/g==,2019-04-14,-34.5995431,-58.4435034,Villa Crespo,43.0,40.0,13500.0,Departamento de 2 ambientes en Alquiler en Villa crespo,Departamento,Alquiler
98z+y0boejA//t79hyl5IA==,2019-02-19,-34.5585893,-58.4494088,Belgrano,94.0,94.0,22000.0,"Departamento en alquiler en Belgrano, tres ambientes.",Departamento,Alquiler
dOGqpvLSkcpdRcJGyHM9OQ==,2019-03-20,-34.5542433,-58.4497275,Belgrano,50.0,48.0,18000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
DCeKpf7qRvMJiKxJVYYOGg==,2019-04-15,-34.6266519,-58.4529795,Caballito,46.0,40.0,11000.0,Ramon Falcon 1600 y Curapaligue - 2 ambientes Planta Baja - Patio,Departamento,Alquiler
mGU0Vk/0JgX8sqyFTmRc/w==,2019-06-04,-34.579823,-58.415842,Palermo,33.0,30.0,15000.0,"ALQUILER 2 AMB ,PALERMO,,,R INDIA 2800",Departamento,Alquiler
y8TLXwhj6LFDumRK83NiTw==,2019-05-11,-34.590881,-58.424551,Palermo,63.0,58.0,22500.0,DEPARTAMENTO 3 AMBIENTES. ALQUILER. PALERMO SOHO,Departamento,Alquiler
2eiD9mhS6kG+TLnJLRCPfg==,2019-04-25,-34.5844316,-58.4059117,Barrio Norte,35.0,35.0,14000.0,Pacheco de Melo al 3000,Departamento,Alquiler
z6/njHD58cc4goYGv3Nxyg==,2019-04-05,-34.5943097,-58.4371725,Villa Crespo,70.0,70.0,35000.0,LOCAL EN ALQUILER LOYOLA AL 700,Local comercial,Alquiler
zh/DKjPwviZLddeAN8lDBg==,2019-04-04,-34.5947494,-58.3981914,Recoleta,45.0,40.0,12000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
5g4g6g3VnaOCH/DmBKaydA==,2019-03-19,-34.5774703789,-58.422504027,Palermo,42.0,38.0,20000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
qebEjpv+lUCBBE7vFzG2bA==,2019-01-03,-34.5568341,-58.4775737,Nuñez,35.0,30.0,11000.0,Monoambiente c/ División - Azurduy 3600 - 35m2 Totales,Departamento,Alquiler
Lge+jYtQKtsdk6L7ZnkCIg==,2019-03-29,-34.5985323877,-58.4119440882,Barrio Norte,45.0,42.0,17000.0,Alquiler   EN TORRE PREMIUN 2 AMB  TODO EXTERNO CON AMENITIES 2 PILETAS SEGURIDAD LAS 24HS,Departamento,Alquiler
/2cq55qHCekaE6AusqQKFA==,2019-05-07,-34.578787,-58.406842,Barrio Norte,50.0,50.0,21000.0,2 AMBIENTES CON AMENITIES APTO PROFESIONAL,Departamento,Alquiler
FPTuwGHu88fYeAGk8vNPtg==,2019-03-19,-34.597199,-58.4202692,Almagro,130.0,130.0,40000.0,Alquiler: Hermoso local en Palermo · 130 m2,Local comercial,Alquiler
sJ2UUvMghqXLOrfcJK771Q==,2019-02-25,-34.5967442,-58.4458048,Villa Crespo,35.0,33.0,9500.0,Excelente Monoambiente en Villa Crespo,Departamento,Alquiler
zsFNashr6Fm4/0N/sJehaQ==,2019-06-22,-34.5680209,-58.4929241,Villa Urquiza,58.0,49.0,18000.0,ALQUILER 3 AMBIENTES - VILLA URQUIZA,Departamento,Alquiler
6lZGS2cQPj6J3VLAS2k5HA==,2019-06-07,-34.5834314,-58.4268409,Palermo,60.0,54.0,24000.0,Departamento - Palermo,Departamento,Alquiler
eEjHMqRtQWVhRr3UCVMXKg==,2019-04-12,-34.5703398,-58.4874673,Villa Urquiza,43.0,39.0,11000.0,Departamento 1 Ambiente Contrafrente con Balcón,Departamento,Alquiler
1VG65BK+EYtJENDyJHLnDA==,2019-04-09,-34.616549,-58.429656,Caballito,35.0,35.0,12000.0,Senillosa y Av Rivadavia. 2 amb cocina separada recién pintado,Departamento,Alquiler
FUYbC/nphOw2Z2u94hwjQg==,2019-02-09,-34.60875,-58.42656,Almagro,120.0,120.0,25000.0,Local de 1 ambiente en Alquiler en Almagro,Local comercial,Alquiler
G62fLXIFQ3Oi2KQkaGHeqQ==,2019-01-31,-34.5686123,-58.4382158,Belgrano,55.0,55.0,17000.0,Departamento - Las Cañitas,Departamento,Alquiler
PX7//iLCL+Q3GCZXEdHqpg==,2019-01-04,-34.5985323877,-58.4119440882,Barrio Norte,45.0,42.0,15500.0,GALLO 900 ::: Alquiler   EN TORRE PREMIUN 2 AMB  TODO EXTERNO CON AMENITIES 2 PILETAS SEGURIDAD LAS 24HS,Departamento,Alquiler
J35hCrRK1QYCpvZe/+0XtQ==,2019-05-01,-34.6036016055,-58.428766581,Almagro,55.0,40.0,17500.0,ALMAGRO. Alquiler 2 ambientes con balcon Terraza c/sin Cochera,Departamento,Alquiler
